tweet_id,retweet_count,favorite_count
834931633769889797,1484,10061
834786237630337024,5092,20148
834574053763584002,2298,12759
834477809192075265,9722,0
834458053273591808,1542,8997
834209720923721728,4309,19166
834167344700198914,3347,14791
834089966724603904,1958,9413
834086379323871233,2034,12187
833863086058651648,2195,12576
833826103416520705,3475,17018
833732339549220864,202,0
833722901757046785,2982,19614
833479644947025920,1883,13953
833124694597443584,4422,18913
832998151111966721,2001,12383
832769181346996225,38,0
832757312314028032,3307,15793
832682457690300417,2655,11093
832645525019123713,483,2720
832636094638288896,2545,14831
832397543355072512,2032,11200
832369877331693569,2907,16013
832273440279240704,2135,10615
832215909146226688,5687,0
832215726631055365,8543,0
832088576586297345,2,59
832040443403784192,8771,0
832032802820481025,4285,16693
831939777352105988,5633,22388
831926988323639298,34,319
831911600680497154,5945,25730
831670449226514432,1681,9754
831650051525054464,1782,6656
831552930092285952,2149,8425
831322785565769729,1434,8723
831315979191906304,1035,6153
831309418084069378,2251,11040
831262627380748289,1881,11108
830956169170665475,1373,7476
830583320585068544,15331,62123
830173239259324417,5217,0
830097400375152640,2677,9113
829878982036299777,4577,0
829861396166877184,1784,11468
829501995190984704,9722,29757
829449946868879360,1849,9833
829141528400556032,6733,22809
829011960981237760,15028,50072
828801551087042563,3145,0
828770345708580865,5369,23975
828708714936930305,10262,34092
828650029636317184,1232,8915
828409743546925057,1075,6018
828408677031882754,1181,7221
828381636999917570,2051,11808
828376505180889089,987,6965
828372645993398273,2712,11822
828361771580813312,165,2058
828046555563323392,2642,11011
828011680017821696,1978,9734
827933404142436356,4798,18760
827653905312006145,2786,14531
827600520311402496,862,7032
827324948884643840,2790,14884
827199976799354881,2047,9956
826958653328592898,4577,20222
826848821049180160,9287,33866
826615380357632002,3660,0
826598799820865537,229,4835
826598365270007810,2171,9395
826476773533745153,3875,17294
826240494070030336,2407,12478
826204788643753985,851,4580
826115272272650244,2846,14672
825876512159186944,1728,9875
825829644528148480,2321,11966
825535076884762624,16273,53746
825147591692263424,4158,17171
825120256414846976,1162,0
825026590719483904,1162,5877
824796380199809024,5067,0
824775126675836928,3253,13992
824663926340194305,1633,9898
824325613288833024,9838,11112
824297048279236611,3544,14149
824025158776213504,557,4563
823939628516474880,2518,10021
823719002937630720,10291,0
823699002998870016,2328,13139
823581115634085888,2431,12199
823333489516937216,22,662
823322678127919110,3695,14757
823269594223824897,9168,0
822975315408461824,3183,16296
822872901745569793,39665,123439
822859134160621569,2100,12392
822647212903690241,5924,0
822610361945911296,2715,13904
822489057087389700,5924,17025
822462944365645825,13058,26165
822244816520155136,9168,32957
822163064745328640,4344,0
821886076407029760,2125,10618
821813639212650496,3107,0
821765923262631936,1552,7878
821522889702862852,1624,7531
821421320206483457,5094,0
821407182352777218,3971,11049
821153421864615936,8,235
821149554670182400,1817,8072
821107785811234820,1957,9018
821044531881721856,2109,11875
820837357901512704,6195,0
820749716845686786,9134,29666
820690176645140481,2985,11538
820494788566847489,521,0
820446719150292993,2381,0
820314633777061888,521,3149
820078625395449857,5747,18532
820013781606658049,1077,0
819952236453363712,1077,5001
819924195358416896,4517,12181
819711362133872643,2845,12551
819588359383371776,1862,9115
819347104292290561,1110,6801
819238181065359361,376,2129
819227688460238848,6195,21691
819015337530290176,34352,0
819015331746349057,17698,0
819006400881917954,17698,42807
819004803107983360,34352,82262
818646164899774465,19315,0
818627210458333184,7016,21134
818614493328580609,2339,9263
818588835076603904,5654,0
818536468981415936,2258,10224
818307523543449600,7408,0
818259473185828864,2069,10356
818145370475810820,2354,11551
817908911860748288,735,4588
817827839487737858,24946,48316
817777686764523521,2509,10178
817536400337801217,2713,11061
817502432452313088,3121,0
817423860136083457,13497,31665
817415592588222464,884,5273
817181837579653120,7819,0
817171292965273600,1855,8263
817120970343411712,2396,11492
817056546584727552,1507,8103
816829038950027264,4366,0
816816676327063552,1882,9432
816697700272001025,2039,9195
816450570814898180,7408,28509
816336735214911488,1790,8135
816091915477250048,1974,8448
816062466425819140,941,0
816014286006976512,4849,0
815990720817401858,941,4674
815966073409433600,7819,21028
815745968457060357,3838,0
815736392542261248,2103,9255
815639385530101762,1546,7781
815390420867969024,3545,9781
814986499976527872,1183,7227
814638523311648768,2509,10637
814578408554463233,5429,0
814530161257443328,1728,8181
814153002265309185,8059,27095
813944609378369540,2936,0
813910438903693312,1722,8816
813812741911748608,12972,34461
813800681631023104,1636,7848
813217897535406080,6806,17591
813202720496779264,1698,8734
813187593374461952,4022,18735
813172488309972993,1797,8766
813157409116065792,2057,7347
813142292504645637,2231,8047
813130366689148928,417,4246
813127251579564032,2907,11162
813112105746448384,2548,9752
813096984823349248,3359,9982
813081950185472002,2580,9380
813066809284972545,1819,7513
813051746834595840,6808,19829
812781120811126785,1778,7121
812709060537683968,1345,6263
812503143955202048,1144,5711
812466873996607488,1792,7544
812372279581671427,3402,12868
811985624773361665,1302,6879
811744202451197953,1462,7117
811647686436880384,678,5290
811627233043480576,2827,12006
811386762094317568,5937,19751
810984652412424192,1323,5031
810896069567610880,1632,8483
810657578271330305,2452,10378
810284430598270976,10439,33126
810254108431155201,3145,13907
809920764300447744,3660,14717
809808892968534016,4546,0
809448704142938112,1358,6580
809220051211603969,5216,18773
809084759137812480,3272,12492
808838249661788160,2848,9603
808733504066486276,2024,7458
808501579447930884,2443,10704
808344865868283904,19315,39959
808134635716833280,5480,0
808106460588765185,2053,8354
808001312164028416,3284,11792
807621403335917568,3364,13776
807106840509214720,51293,110966
807059379405148160,6847,0
807010152071229440,3608,12403
806629075125202948,32158,70190
806620845233815552,5118,0
806576416489959424,1817,4645
806542213899489280,2207,9687
806242860592926720,10801,0
806219024703037440,1125,6109
805958939288408065,4972,0
805932879469572096,1791,7847
